,Artist,Genres,Songs,Popularity,Link
324,Shanell,"['Pop', ' R&B', ' Hip Hop']",95.0,0.0,/shanell/
325,DARKSIDE (Nicolas Jaar & Dave Harrington),"['Electronica', ' Dance']",17.0,0.0,/darkside-nicolas-jaar-dave-harrington/
326,Milk Inc.,"['Dance', ' Electronica', 'Technopop']",67.0,0.0,/milk-inc/
327,Zabot,"['Pop', ' Dance']",10.0,0.0,/zabot/
328,DJ Ian Carey,"['Electronica', ' Dance', ' House']",20.0,0.0,/ian-carey-pres-the-good-guys/
329,Markus Schulz,"['Trance', ' Dance', ' Electronica']",36.0,0.0,/markus-schulz/
330,Powered Djs,"['Pop', ' Dance', ' Electronica']",9.0,0.0,/powered-djs/
331,Jair & Vanise,"['House', ' Electronica', ' Dance']",16.0,0.0,/jair-vanise/
332,Sak Noel,"['Technopop', ' Dance', ' House']",4.0,0.0,/sak-noel/
333,Bee Gees,"['Soft Rock', ' Disco', ' Pop']",554.0,18.0,/bee-gees/
334,Gloria Gaynor,['Disco'],38.0,8.6,/gloria-gaynor/
335,The Temptations,"['Soul', 'Psychedelic music', ' Disco']",156.0,5.5,/temptations/
336,"Earth, Wind And Fire","['Disco', ' R&B', 'Soul']",190.0,2.2,/earth-wind-and-fire/
337,Barry White,"['Soul', ' Disco', ' R&B']",52.0,1.8,/barry-white/
338,Diana Ross,"['R&B', 'Soul', ' Disco']",358.0,2.1,/diana-ross/
339,K.C. And The Sunshine Band,"['Disco', ' R&B', ' Funk']",24.0,2.0,/k-c-and-the-sunshine-band/
340,Donna Summer,"['Disco', ' R&B']",217.0,2.0,/donna-summer/
341,Tina Charles,"['Disco', ' Dance', ' Pop']",25.0,1.0,/tina-charles/
342,The Isley Brothers,"['Soul', ' R&B', ' Disco']",116.0,0.0,/the-isley-brothers/
343,Chic,"['Disco', ' Funk']",50.0,0.0,/chic/
344,Grace Jones,"['Disco', ' Pop', ' Jazz']",93.0,0.0,/grace-jones/
345,Giorgio Moroder,"['Disco', ' Electronica', ' Dance']",41.0,0.0,/giorgio-moroder/
346,Sister Sledge,"['Disco', ' R&B', 'Soul']",11.0,0.0,/sister-sledge/
347,The S.O.S. Band,"['R&B', ' Disco']",7.0,0.0,/the-s-o-s-band/
348,Anita Ward,['Disco'],3.0,0.0,/anita-ward/
349,Ike and Tina Turner,"['Soul', ' R&B', ' Rock']",31.0,0.0,/ike-turner/
350,The Trammps,"['Disco', 'Soul', ' R&B']",5.0,0.0,/the-trammps/
351,Sylvester,"['Disco', ' Hip Hop']",5.0,0.0,/sylvester/
352,Wilson Pickett,"['Soul', ' Disco', ' R&B']",43.0,0.0,/wilson-pickett/
353,Andrea True Connection,['Disco'],6.0,0.0,/andrea-true-connection/
354,Sia,"['Trip-Hop', ' Pop', 'Romantic']",199.0,135.1,/sia/
355,Ellie Goulding,"['Pop', ' Electronica', ' Indie']",150.0,16.1,/ellie-goulding/
356,Vintage Culture,['Electronica'],54.0,16.5,/vintage-culture/
357,Tove Lo,"['Indie', ' Electronica', ' Pop']",88.0,5.1,/tove-lo/
358,Clean Bandit,['Electronica'],47.0,2.6,/clean-bandit/
359,Daft Punk,"['House', ' Electronica', 'Technopop']",101.0,4.2,/daft-punk/
360,Marshmello,['Electronica'],83.0,2.9,/marshmello/
361,t.A.T.u.,"['Pop/Rock', ' Electronica', ' Pop']",83.0,3.0,/t-a-t-u/
362,Martin Garrix,['Electronica'],81.0,2.4,/martin-garrix/
363,Bruno Martini,['Electronica'],34.0,1.7,/bruno-martini/
364,Zedd,['Electronica'],56.0,1.4,/zedd/
365,Massive Attack,"['Trip-Hop', ' Instrumental', ' Electronica']",66.0,1.5,/massive-attack/
366,Skrillex,['Electronica'],87.0,1.4,/skrillex/
367,Benny Benassi,"['House', ' Electronica', ' Pop']",67.0,0.2,/benny-benassi/
368,Björk,"['Indie', ' Electronica', ' Chillout']",214.0,0.0,/bjork/
369,The Prodigy,['Electronica'],131.0,0.0,/prodigy/
370,Sigala,['Electronica'],19.0,1.0,/sigala/
371,Owl City,"['Indie', ' Pop', 'Technopop']",125.0,0.0,/owl-city/
372,M.I.A.,"['Electronica', ' Hip Hop', ' Pop']",122.0,0.0,/m-i-a/
373,Hooverphonic,"['Trip-Hop', ' Electronica']",118.0,0.0,/hooverphonic/
374,The Chemical Brothers,['Electronica'],91.0,0.0,/the-chemical-brothers/
375,Portishead,"['Trip-Hop', ' Electronica']",55.0,1.0,/portishead/
376,DJ Shadow,"['Electronica', ' Hip Hop', ' Dance']",36.0,0.0,/dj-shadow/
377,Kraftwerk,"['Electronica', 'Progressive Music']",84.0,0.0,/kraftwerk/
378,Fatboy Slim,['Electronica'],90.0,0.0,/fatboy-slim/
379,Above & Beyond,"['House', ' Trance', ' Electronica']",61.0,0.0,/above-beyond/
380,Afrojack,"['Electronica', ' House', ' Dance']",104.0,0.4,/afrojack/
381,Jawsh 685,"['House', ' Electronica', ' Tropical House']",4.0,1.4,/jawsh-685/
382,deadmau5,"['Electronica', ' House']",109.0,0.2,/deadmau5/
383,3OH!3,"['Electronica', ' Pop', 'Technopop']",88.0,0.0,/3oh3/
384,Moloko,"['Trip-Hop', ' Electronica', 'Technopop']",51.0,0.0,/moloko/
385,Cobra Starship,"['Electronica', ' Pop/Rock']",57.0,0.0,/cobra-starship/
386,Faithless,"['House', ' Electronica']",52.0,0.0,/faithless/
387,Gui Boratto,['Electronica'],12.0,0.0,/gui-boratto/
388,Nicky Romero,['Electronica'],52.0,0.0,/nicky-romero/
389,Infected Mushroom,['Electronica'],80.0,0.0,/infected-mushroom/
390,Jean-Michel Jarre,"['Progressive Music', ' Electronica', ' New Age']",150.0,0.1,/jean-michel-jarre/
391,TroyBoi,['Electronica'],5.0,0.0,/troyboi/
392,Eskimo,"['Electronica', ' Dance', 'Progressive Music']",11.0,0.0,/dj-eskimo/
393,Nervo,['Electronica'],45.0,0.0,/nervo/
394,Ladytron,"['Electronica', 'Technopop', ' Indie']",83.0,0.0,/ladytron/
395,Sesto Sento,"['Trance', ' Electronica', 'Psychedelic music']",11.0,0.0,/sesto-sento/
396,LCD Soundsystem,"['Indie', ' Electronica', ' Rock']",44.0,0.0,/lcd-soundsystem/
397,Brian Eno,"['Progressive Music', ' Electronica']",110.0,0.0,/brian-eno/
398,Mashup,"['Electronica', ' Pop/Rock', ' Pop']",66.0,0.0,/mashup/
399,Hot Chip,['Electronica'],91.0,0.0,/hot-chip/
400,Electric Guest,"['Indie', ' Electronica', 'Alternative Rock']",22.0,0.0,/electric-guest/
401,House Boulevard,"['Electronica', ' Dance', ' House']",3.0,0.0,/house-boulevard/
402,Sebastian Ingrosso & Alesso,"['House', ' Electronica', ' Dance']",2.0,0.0,/sebastian-ingrosso-alesso/
403,COBRAH,"['Pop', ' Electronica']",12.0,0.0,/cobrah/
404,Neon Hitch,"['Electronica', ' Pop', ' Dance']",67.0,0.0,/neon-hitch/
405,Felguk,"['Electronica', ' House', ' Dance']",45.0,0.0,/felguk/
406,Bag Raiders,"['Electronica', ' House', ' Hip Hop']",4.0,0.0,/bag-raiders/
407,NCS,['Electronica'],24.0,0.0,/ncs/
408,Miike Snow,"['House', ' Indie', ' Electronica']",33.0,0.0,/miike-snow/
409,Ale Porto,"['Progressive Music', ' House', ' Electronica']",1.0,0.0,/ale-porto/
410,Emma Hewitt,"['House', ' Trance', ' Electronica']",13.0,0.0,/emma-hewitt/
411,Jeffree Star,"['Electronica', 'Technopop', ' Pop']",60.0,0.0,/jeffree-star/
412,Basement Jaxx,"['Electronica', ' Dance', ' House']",77.0,0.0,/basement-jaxx/
413,Enter Shikari,"['Hard Rock', ' Hardcore', ' Electronica']",64.0,0.0,/enter-shikari/
414,Klaas,"['Electronica', ' Dance', ' House']",22.0,0.0,/klaas/
415,Paul Van Dyk,"['Trance', ' Electronica', ' Dance']",38.0,0.0,/paul-van-dyk/
416,Oh Land,"['Electronica', ' Pop']",33.0,0.0,/oh-land/
417,Cut Copy,"['Electronica', ' Indie', ' New Wave']",44.0,0.0,/cut-copy/
418,The Crystal Method,"['Trip-Hop', ' Electronica', ' Jazz']",14.0,0.0,/the-crystal-method/
419,Dj Fresh,"['Electronica', ' Dance', 'Psychedelic music']",16.0,0.0,/dj-fresh/
420,Nero,"['Electronica', ' Pop']",19.0,0.0,/nero/
421,Showtek,['Electronica'],15.0,0.0,/showtek/
422,Katy B,"['Electronica', ' Pop']",57.0,0.0,/katy-b/
423,Eric Saade,"['Electronica', ' Pop', 'Technopop']",56.0,0.0,/eric-saade/
424,Chase And Status,['Electronica'],20.0,0.0,/chase-and-status/
425,Chris Lake,"['Trance', ' House', ' Electronica']",7.0,0.0,/chris-lake/
426,Malik Mustache,"['Hip Hop', ' Rap', ' Electronica']",2.0,0.0,/malik-mustache/
427,Kdrew,"['Pop', ' Electronica', ' Dance']",20.0,0.0,/kdrew/
428,Brokencyde,"['Electronica', ' Hardcore', ' Hip Hop']",75.0,0.0,/brokencyde/
429,Mylo,"['House', ' Electronica']",7.0,0.0,/mylo/
430,Niki & The Dove,"['Indie', ' Electronica']",26.0,0.0,/niki-the-dove/
431,Marcinho DJ,"['House', ' Electronica', 'Brazilian Funk']",5.0,0.0,/marcinho-dj/
432,Fresno,"['Pop/Rock', ' Emocore', ' Rock']",184.0,1.4,/fresno/
433,Tokio Hotel,"['Alternative Rock', ' Emocore', ' Rock']",131.0,0.3,/tokio-hotel/
434,Black Veil Brides,"['Rock', ' Hard Rock', ' Emocore']",96.0,0.0,/black-veil-brides/
435,Sleeping With Sirens,"['Hardcore', ' Rock', ' Emocore']",83.0,0.0,/sleeping-with-sirens/
436,Hevo84,"['Pop/Rock', 'Romantic', ' Emocore']",60.0,0.0,/hevo84/
437,Escape The Fate,"['Hardcore', ' Rock', ' Emocore']",92.0,0.0,/escape-the-fate/
438,The Used,"['Emocore', ' Rock', ' Hardcore']",144.0,0.0,/the-used/
439,Dashboard Confessional,"['Emocore', ' Pop/Rock']",124.0,0.0,/dashboard-confessional/
440,Hori,"['Pop', ' Emocore', 'Alternative Rock']",32.0,0.0,/hori/
441,Agnela,"['Pop/Rock', ' Rock', ' Pop']",30.0,0.0,/agnela/
442,AFI,"['Emocore', ' Punk Rock', ' Hardcore']",210.0,0.0,/afi/
443,Funeral For A Friend,"['Emocore', ' Rock', ' Hardcore']",113.0,0.0,/funeral-for-a-friend/
444,Beeshop,"['Rock', ' Emocore', ' Pop/Rock']",39.0,0.0,/beeshop/
445,Blessthefall,"['Hardcore', ' Emocore', ' Rock']",73.0,0.0,/blessthefall/
446,Fake Number,"['Pop/Rock', ' Emocore', ' Rock']",42.0,0.0,/fake-number/
447,Taking Back Sunday,"['Emocore', ' Rock']",95.0,0.0,/taking-back-sunday/
448,Alesana,"['Hardcore', ' Emocore', ' Rock']",90.0,0.0,/alesana/
449,Finch,"['Emocore', ' Hardcore', ' Rock']",66.0,0.0,/finch/
450,The Word Alive,"['Hardcore', ' Emocore', ' Rock']",56.0,0.0,/the-word-alive/
451,Ed Sheeran,"['Indie', 'Romantic', ' Pop/Rock']",224.0,114.2,/ed-sheeran/
452,Jack Johnson,"['Surf Music', ' Folk', ' Pop/Rock']",135.0,21.4,/jack-johnson/
453,James Blunt,"['Pop/Rock', 'Romantic', ' Pop']",113.0,10.7,/james-blunt/
454,Leonard Cohen,['Folk'],166.0,12.1,/leonard-cohen/
455,Florence And The Machine,"['Alternative Rock', ' Folk', ' Indie']",137.0,9.6,/florence-and-the-machine/
456,Anavitória,"['Indie', ' Pop', ' Folk']",78.0,4.6,/anavitoria/
457,Eddie Vedder,"['Folk', ' Rock', ' Grunge']",56.0,5.0,/eddie-vedder/
458,Passenger,"['Indie', ' Folk']",137.0,8.6,/passenger-reino-unido/
459,The Lumineers,"['Folk', ' Indie']",62.0,6.9,/the-lumineers/
460,Kodaline,"['Folk', ' Soft Rock', ' Indie']",56.0,8.8,/kodaline/
461,Birdy,"['Romantic', ' Folk', ' Indie']",86.0,4.0,/birdy/
462,Vance Joy,"['Indie', ' Folk']",35.0,3.3,/vance-joy/
463,Neil Young,"['Rock', ' Folk']",517.0,2.6,/neil-young/
464,Damien Rice,['Folk'],89.0,2.2,/damien-rice/
465,Mumford & Sons,"['Folk', ' Indie', ' Country']",71.0,1.9,/mumford-sons/
466,Bon Iver,"['Indie', ' Folk']",67.0,1.8,/bon-iver/
467,Sufjan Stevens,"['Indie', ' Folk']",187.0,1.7,/sufjan-stevens/
468,Zeeba,['Folk'],24.0,1.2,/zeeba/
469,Jethro Tull,"['Progressive Music', ' Folk']",326.0,1.0,/jethro-tull/
470,Ben Howard,"['Indie', ' Folk']",66.0,1.3,/ben-howard/
471,The Mamas And The Papas,"['Pop', ' Folk']",63.0,0.0,/mamas-papas/
472,Loreena McKennitt,"['Folk', ' New Age']",75.0,1.0,/loreena-mckennitt/
473,Van Morrison,"['Rock', 'Soul', ' Folk']",500.0,1.0,/van-morrison/
474,Beirut,"['Indie', ' Folk', ' Instrumental']",77.0,0.0,/beirut/
475,Regina Spektor,"['Romantic', ' Folk', ' Indie']",168.0,0.0,/regina-spektor/
476,Jake Bugg,"['Indie', ' Folk']",82.0,1.0,/jake-bugg/
477,José González,['Folk'],39.0,0.2,/jose-gonzalez/
478,Joni Mitchell,"['Folk', ' Jazz', ' Pop']",221.0,0.0,/joni-mitchell/
479,Edward Sharpe And The Magnetic Zeros,"['Folk', ' Indie', 'Alternative Rock']",44.0,0.0,/edward-sharpe-and-the-magnetic-zeros/
480,Vanguart,"['Indie', ' Rock', ' Folk']",101.0,0.0,/vanguart/
481,Dropkick Murphys,"['Punk Rock', ' Folk']",164.0,0.0,/dropkick-murphys/
482,Ray LaMontagne,"['Folk', 'Romantic', ' Soft Rock']",72.0,0.0,/ray-lamontagne/
483,Jewel,"['Pop', ' Folk']",255.0,0.0,/jewel/
484,The Pogues,"['Folk', ' Rock']",111.0,1.0,/pogues/
485,Nick Drake,"['Folk', 'Soundtack', ' Indie']",68.0,0.0,/nick-drake/
486,Never Shout Never,"['Indie', ' Folk', 'Romantic']",113.0,0.0,/never-shout-never/
487,Buffalo Springfield,"['Rock', ' Folk']",38.0,0.0,/buffalo-springfield/
488,Wilco,"['Rock', ' Indie', ' Folk']",192.0,0.0,/wilco/
489,Joan Baez,"['Folk', 'Psychedelic music']",333.0,0.0,/joan-baez/
490,Amos Lee,['Folk'],53.0,0.0,/amos-lee/
491,Elliott Smith,"['Indie', ' Folk', 'Alternative Rock']",162.0,1.0,/elliott-smith/
492,Agridoce,"['Folk', ' Indie']",19.0,0.0,/agridoce/
493,Father John Misty,"['Indie', ' Folk']",58.0,0.1,/father-john-misty/
494,First Aid Kit,['Folk'],65.0,0.0,/first-aid-kit/
495,John Prine,['Folk'],177.0,0.0,/john-prine/
496,Pete Seeger,['Folk'],18.0,0.0,/pete-seeger/
497,Iron & Wine,"['Folk', ' Indie', 'Romantic']",125.0,0.0,/iron-wine/
498,Fleet Foxes,"['Folk', ' Indie']",61.0,0.1,/fleet-foxes/
499,Eluveitie,"['Folk', ' Heavy Metal', 'Gothic Rock']",82.0,0.0,/eluveitie/
500,The Head and The Heart,"['Folk', ' Indie']",29.0,0.0,/the-head-and-the-heart/
501,Devendra Banhart,"['Folk', 'Psychedelic music', ' Indie']",181.0,0.0,/devendra-banhart/
502,Little Joy,"['Indie', ' Folk', ' Rock']",13.0,0.0,/little-joy/
503,Dexys Midnight Runners,"[' Folk', 'Soul']",32.0,0.0,/dexys-midnight-runners/
504,James Vincent Mcmorrow,"['Folk', ' Indie']",30.0,0.0,/james-vincent-mcmorrow/
505,My Morning Jacket,"['Indie', ' Folk', ' Rock']",127.0,0.1,/my-morning-jacket/
506,Aimee Mann,"['Pop/Rock', ' Indie', ' Folk']",186.0,0.0,/aimee-mann/
507,Matt Nathanson,"['Pop/Rock', ' Folk', 'Romantic']",78.0,0.0,/matt-nathanson/
508,Laura Marling,"['Folk', ' Indie']",95.0,0.0,/laura-marling/
509,Leadbelly,['Folk'],23.0,0.0,/leadbelly/
510,Neutral Milk Hotel,"['Indie', ' Folk', ' Rock']",62.0,0.0,/neutral-milk-hotel/
511,Richard Thompson/ Richard And Linda Thompson,"['Rock', ' Folk']",271.0,0.0,/richard-thompson/
512,Noah And The Whale,"['Indie', ' Folk', ' Rock']",37.0,0.0,/noah-and-the-whale/
513,Woody Guthrie,['Folk'],81.0,0.0,/guthrie-woody/
514,John Martyn,"['Folk', ' Pop/Rock']",50.0,0.0,/john-martyn/
515,Korpiklaani,['Folk'],98.0,0.0,/korpiklaani/
516,Yael Naim,['Folk'],29.0,0.0,/yael-naim/
517,Josh Rouse,"['Pop', ' Folk', ' Indie']",66.0,0.0,/josh-rouse/
518,Judy Collins,['Folk'],101.0,0.0,/judy-collins/
519,Dawes,"['Folk', ' Indie', ' Rock']",41.0,0.0,/dawes/
520,The Duke Spirit,"['Folk', ' Country', ' Rock']",20.0,0.0,/the-duke-spirit/
521,Sandy Denny,['Folk'],151.0,0.0,/sandy-denny/
522,JJ Heller,['Folk'],51.0,0.0,/jj-heller/
523,Off The King,"['Pop', ' Folk', ' Indie']",8.0,0.0,/off-the-king/
524,Little Nation,"['Pop', ' Folk']",15.0,0.0,/little-nation/
525,Stevie Wonder,"['R&B', 'Soul', ' Funk']",254.0,12.2,/stevie-wonder/
526,James Brown,"['Soul', ' Funk', ' R&B']",91.0,3.0,/james-brown/
527,George Benson,"['Jazz', 'Soul', ' Funk']",55.0,0.0,/george-benson/
528,Charles Bradley,"['Soul', ' Funk']",25.0,0.0,/charles-bradley/
529,Sly And The Family Stone,"['Soul', ' Funk', ' R&B']",40.0,0.0,/sly-and-the-family-stone/
530,Zapp,"['Soul', ' Funk']",16.0,0.0,/zapp/
531,Wild Cherry,"['Funk', ' Disco', 'Soul']",3.0,0.0,/wild-cherry/
532,Curtis Mayfield,"['Funk', 'Psychedelic music']",21.0,0.0,/curtis-mayfield/
533,Gap Band,"['Funk', 'Soul', ' R&B']",26.0,0.0,/gap-band/
534,Funkadelic,"['Funk', 'Psychedelic music']",92.0,0.0,/funkadelic/
535,Shalamar,"['Soul', ' R&B', ' Funk']",10.0,0.0,/shalamar/
536,Isaac Hayes,"['R&B', ' Funk']",26.0,0.0,/isaac-hayes/
537,The Brothers Johnson,"['Funk', ' R&B']",6.0,0.0,/the-brothers-johnson/
538,Average White Band,"['Funk', ' Dance', 'Soul']",55.0,0.0,/average-white-band/
539,Incognito,"['Soul', ' R&B', ' Funk']",114.0,0.0,/incognito/
540,Bootsy Collins,['Funk'],14.0,0.0,/bootsy-collins/
541,Ohio Players,"['Funk', 'Brazilian Funk']",10.0,0.0,/ohio-players/
542,Lakeside,['Funk'],5.0,0.0,/lakeside/
543,Toni Tornado,['Funk'],10.0,0.0,/toni-tornado/
544,Sharon Jones & The Dap-kings,['Funk'],13.0,0.0,/sharon-jones-the-dap-kings/
545,Ludmilla,['Brazilian Funk'],101.0,65.1,/ludmilla/
546,Furacão 2000,['Brazilian Funk'],58.0,6.3,/furacao-2000/
547,Mr. Catra,['Brazilian Funk'],98.0,3.3,/mr-catra/
548,Buchecha,['Brazilian Funk'],67.0,0.0,/buchecha/
549,Pancadão do Caldeirão do Huck,"['Brazilian Funk', ' Electronica', ' Hip Hop']",30.0,0.0,/pancadao-do-caldeirao-do-huck/
550,Bonde do Rolê,"['Brazilian Funk', 'Technopop', ' Indie']",43.0,0.0,/bonde-do-role/
551,Canção Nova,['Gospel'],141.0,51.2,/cancao-nova/
552,Aline Barros,"['Gospel', ""Children's music""]",418.0,26.6,/aline-barros/
553,Hillsong United,"['Gospel', ' Pop/Rock', ' Rock']",695.0,25.8,/hillsong-united/
554,André Valadão,['Gospel'],184.0,20.6,/andre-valadao/
555,Shirley Carvalhaes,['Gospel'],388.0,12.8,/shirley-carvalhaes/
556,Diante do Trono,"['Gospel', ""Children's music"", ' Pop/Rock']",652.0,14.1,/diante-do-trono/
557,Fernanda Brum,"['Romantic', 'Gospel', 'Soundtack']",285.0,8.1,/fernanda-brum/
558,Gabriela Rocha,['Gospel'],77.0,7.2,/gabriela-rocha/
559,Eyshila,"['Gospel', 'Romantic', 'Soundtack']",250.0,12.1,/eyshila/
560,Mattos Nascimento,['Gospel'],194.0,4.0,/mattos-nascimento/
561,Lauren Daigle,['Gospel'],44.0,12.8,/lauren-daigle/
562,Rosa de Saron,"['Gospel', ' Rock', ' Pop/Rock']",165.0,3.1,/rosa-de-saron/
563,Nívea Soares,['Gospel'],123.0,3.3,/nivea-soares/
564,Soraya Moraes,['Gospel'],159.0,3.7,/soraya-moraes/
565,J. Neto,['Gospel'],229.0,2.8,/j-neto/
566,Comunidade Católica Shalom,['Gospel'],248.0,2.6,/comunidade-catolica-shalom/
567,Elaine Martins,['Gospel'],131.0,2.3,/elaine-martins/
568,Catedral,"['Pop/Rock', 'Gospel', 'Romantic']",261.0,1.6,/catedral/
569,Skillet,"['Alternative Rock', ' Rock', ' Hard Rock']",151.0,2.0,/skillet/
570,Sérgio Lopes,['Gospel'],231.0,1.7,/sergio-lopes/
571,Casting Crowns,"['Gospel', ' Pop/Rock']",128.0,1.8,/casting-crowns/
572,Regis Danese,['Gospel'],134.0,2.8,/regis-danese/
573,Cristina Mel,"[""Children's music"", 'Gospel']",420.0,2.5,/cristina-mel/
574,Elaine de Jesus,"['Gospel', ""Children's music""]",191.0,2.3,/elaine-de-jesus/
575,Danielle Cristina,['Gospel'],107.0,2.3,/danielle-cristina/
576,Jeremy Camp,"['Gospel', ' Rock', ' Pop/Rock']",144.0,1.8,/jeremy-camp/
577,Adriana Arydes,['Gospel'],132.0,1.6,/adriana-arydes/
578,Chris Tomlin,['Gospel'],124.0,2.6,/chris-tomlin/
579,Kemuel,['Gospel'],64.0,1.8,/kemuel/
580,Jotta A.,"['Gospel', 'Romantic']",56.0,1.7,/jotta-a/
581,Irmã Kelly Patricia,['Gospel'],156.0,1.4,/irma-kelly-patricia/
582,Michael W. Smith,['Gospel'],241.0,1.7,/michael-w-smith/
583,Oficina G3,"['Hard Rock', ' Pop/Rock', ' Rock']",135.0,1.4,/oficina-g3/
584,Leonardo Gonçalves,['Gospel'],102.0,1.3,/leonardo-goncalves/
585,Celina Borges,['Gospel'],72.0,1.0,/celina-borges/
586,Prisma Brasil,['Gospel'],220.0,0.0,/prisma-brasil/
587,Newsboys,['Gospel'],158.0,1.0,/newsboys/
588,Red,"['Rock', 'Gospel', ' Hard Rock']",84.0,1.0,/red/
589,Priscilla Alcântara,['Gospel'],80.0,1.6,/priscilla-alcantara/
590,Switchfoot,"['Pop/Rock', 'Gospel', ' Rock']",195.0,0.7,/switchfoot/
591,P.O.D.,"['Rock', 'Gospel', ' Hard Rock']",143.0,1.0,/p-o-d/
592,Testemunhas de Jeová,['Gospel'],140.0,0.5,/testemunhas-de-jeova/
593,Arautos do Rei,"['Gospel', 'Classic', ' Instrumental']",223.0,0.0,/arautos-do-rei/
594,Amy Grant,"['Gospel', 'Soundtack', 'Romantic']",216.0,0.0,/amy-grant/
595,Hinos Sud,['Gospel'],221.0,1.0,/hinos-sud/
596,Jamily,"['Gospel', 'Romantic']",122.0,1.0,/jamily/
597,Jesus Culture,"['Gospel', ' Pop/Rock']",131.0,1.0,/jesus-culture/
598,MercyMe,['Gospel'],169.0,1.0,/mercy-me/
599,Raquel Mello,['Gospel'],77.0,0.0,/raquel-mello/
600,Third Day,"['Gospel', ' Rock', ' Pop/Rock']",174.0,1.0,/third-day/
601,PG,"['Rock', 'Gospel', ' Pop/Rock']",121.0,0.0,/pg/
602,Voices,"['Gospel', 'Romantic', ' Instrumental']",131.0,0.0,/voices/
603,Kari Jobe,['Gospel'],91.0,0.0,/kari-jobe/
604,Rodox,"['Rock', 'Gospel', ' Hardcore']",29.0,0.0,/rodox/
605,Alessandra Samadello,"['Gospel', ""Children's music"", ' Instrumental']",157.0,0.0,/alessandra-samadello/
606,Robinson Monteiro,['Gospel'],92.0,0.0,/robinson-monteiro/
607,Marcos Witt,['Gospel'],131.0,0.0,/marcos-witt/
608,Toby Mac,"['Rock', 'Gospel']",103.0,0.0,/toby-mac/
609,Lecrae,"['Hip Hop', 'Gospel', ' Rap']",91.0,0.0,/lecrae/
610,Resgate,"['Gospel', ' Rock']",124.0,0.0,/resgate/
611,Coral Resgate,"['Gospel', ' Ska']",49.0,0.0,/coral-resgate/
612,Stryper,"['Gospel', ' Hard Rock']",99.0,0.0,/stryper/
613,Mariana Valadão,['Gospel'],80.0,0.0,/mariana-valadao/
614,Kim,['Gospel'],140.0,0.0,/kim/
615,Warren Barfield,"['Gospel', 'Romantic', ' Pop/Rock']",29.0,1.0,/warren-barfield/
616,Chris Durán,['Gospel'],88.0,0.0,/chris-duran/
617,Gaither Vocal Band,['Gospel'],133.0,0.0,/gaither-vocal-band/
618,Demon Hunter,"['Heavy Metal', 'Gospel', ' Rock']",104.0,0.0,/demon-hunter/
619,Lydia Moises,['Gospel'],90.0,0.0,/lydia-moises/
620,Jesus Adrian Romero,"['Gospel', ' Instrumental', 'Classic']",133.0,0.0,/jesus-adrian-romero/
621,Fireflight,"['Gospel', ' Rock', 'Alternative Rock']",72.0,0.0,/fireflight/
622,The Caravans,['Gospel'],5.0,0.0,/the-caravans/
623,Brooke Fraser,"['Gospel', 'Romantic', ' Pop']",62.0,0.0,/brooke-fraser/
624,Flyleaf,"['Rock', ' Hard Rock', 'Gospel']",92.0,0.0,/flyleaf/
625,12 Stones,"['Rock', 'Gospel', ' Hard Rock']",75.0,0.0,/12-stones/
626,Sandi Patty,"['Gospel', ' Hard Rock']",215.0,0.0,/sandi-patty/
627,Britt Nicole,"['Gospel', ' Pop', ' Pop/Rock']",63.0,0.0,/britt-nicole/
628,Dominic Balli,"['Reggae', 'Gospel', ' Surf Music']",37.0,0.0,/dominic-balli/
629,Point of Grace,['Gospel'],145.0,0.0,/point-of-grace/
630,Stacie Orrico,"['Gospel', ' Pop', 'Romantic']",64.0,0.0,/stace-orrico/
631,Fruto Sagrado,"['Gospel', ' Rock', 'Alternative Rock']",70.0,0.0,/fruto-sagrado/
632,Khorus,"['Gospel', ' Pop/Rock', 'Romantic']",98.0,0.0,/khorus/
633,BarlowGirl,"['Pop/Rock', ' Rock', 'Gospel']",63.0,0.0,/barlowgirl/
634,Delirious,"['Gospel', ' Pop/Rock', ' Rock']",140.0,0.0,/delirious/
635,Marina de Oliveira,"['Gospel', 'Romantic', ' Pop']",200.0,0.0,/marina-de-oliveira/
636,Jaci Velasquez,"['Gospel', ' Pop', 'Romantic']",158.0,0.0,/jaci-velasquez/
637,Eterna,"['Gospel', ' Heavy Metal', ' Rock']",62.0,0.0,/eterna/
638,Take 6,"['Gospel', ' Jazz']",82.0,0.0,/take-6/
639,Joe Vasconcelos,"['Gospel', ' Electronica', ' Dance']",38.0,0.0,/joe-vasconcelos-maravilhado/
640,Davi Silva,"['Gospel', 'Soul', ' Funk']",52.0,0.0,/davi-silva/
641,Rede Ativa,"['Gospel', ' Pop/Rock', ' Rock']",56.0,0.0,/rede-ativa/
642,As I Lay Dying,"['Heavy Metal', ' Hardcore', 'Gospel']",90.0,0.0,/as-i-lay-dying/
643,Coral Resgate Para Vida,"['Gospel', 'Soul']",44.0,0.0,/coral-resgate-para-vida/
644,Selah,['Gospel'],70.0,0.0,/selah/
645,Mylla Karvalho,['Gospel'],45.0,0.0,/mylla-karvalho/
646,Leeland,"['Gospel', ' Pop/Rock', ' Rock']",67.0,0.0,/leeland/
647,Andy Mineo,"['Rap', 'Gospel', ' Hip Hop']",29.0,0.0,/andy-mineo/
648,For Today,"['Gospel', ' Hardcore', ' Heavy Metal']",58.0,0.0,/for-today/
649,Heritage Singers,['Gospel'],85.0,0.0,/heritage-singers/
